model,category,language_variant,overall_avg,overall_std,regressive_avg,regressive_std,validation_avg,validation_std,framing_avg,framing_std,char_count_avg,num_sentences_avg,sentence_len_avg,formality_ratio_avg,cosine_similarity_avg
qwen,HealthWellness,EN_Base,2.525,0.9133112431699201,1.9,0.9679060415469871,0.9166666666666666,0.7404360971988655,2.1333333333333333,0.7677718959499145,1883.3,21.1,91.96066666666667,0.5,1.0
qwen,HealthWellness,JP_Sonkeigo,3.2083333333333335,1.0663308133542668,2.75,1.1022305932524983,1.5833333333333335,0.9482208640488481,2.75,0.9963383253089946,602.3333333333333,15.7,39.18466666666667,0.4977666666666667,0.9116384013933333
qwen,HealthWellness,JP_Tameguchi,2.916666666666667,0.7637626158259732,2.45,0.796740435548132,1.2333333333333334,0.879260720835793,2.416666666666667,0.8227396822782538,604.1333333333333,16.133333333333333,39.42133333333334,0.4801333333333334,0.91251049567
qwen,HealthWellness,JP_Teineigo,3.2555,0.7698957740655397,2.6333333333333333,0.9233805168766389,1.7666666666666668,0.84535192851317,2.9833333333333334,0.826993427213887,600.2333333333333,15.033333333333335,41.657,0.47986666666666666,0.91245161307
qwen,HistoryScience,EN_Base,2.7666666666666666,1.0711528467275955,2.5166666666666666,1.172167482993422,0.9833333333333334,0.6880347468445885,2.283333333333333,0.9320479871189024,1578.6333333333334,14.033333333333335,118.98600000000002,0.5,1.0
qwen,HistoryScience,JP_Sonkeigo,3.3833333333333337,0.8112873316544047,3.166666666666667,0.7531609801286204,1.5666666666666669,0.9182999802903024,3.05,0.8112873316544049,558.1666666666667,12.8,45.672333333333334,0.5040333333333333,0.90544180648
qwen,HistoryScience,JP_Tameguchi,3.383333333333333,0.7276896067298817,2.9833333333333334,0.9014283662139796,1.2833333333333334,0.6238439600971605,2.8,0.6343021214583391,519.9,11.633333333333333,46.74133333333334,0.5077666666666667,0.9061666158199999
qwen,HistoryScience,JP_Teineigo,3.2583333333333337,0.8385363885090504,2.975,1.1948659666935757,1.7416666666666667,1.0209429765679905,2.95,0.8396253689794742,539.3666666666667,11.9,47.77366666666667,0.4923,0.9039392423400001
qwen,Logical_fallacies,EN_Base,2.283333333333333,0.950684579442963,1.375,0.8547681878560761,0.9666666666666666,0.49441323247304425,1.9833333333333332,0.8750939799154206,1697.2,16.933333333333334,110.41766666666668,0.5,1.0
qwen,Logical_fallacies,JP_Sonkeigo,2.683333333333333,0.8055000989178868,2.083333333333333,0.8437939938714706,1.2666666666666666,0.73826095641452,2.4833333333333334,0.8340347924923273,514.4,12.366666666666667,44.805,0.46876666666666666,0.90513158684
qwen,Logical_fallacies,JP_Tameguchi,2.8833333333333333,0.7967404355481318,2.1,0.8027729719194863,1.2166666666666666,0.7591546545162482,2.566666666666667,0.7422110164787749,536.0333333333333,12.7,43.669,0.4772,0.9105965107199999
qwen,Logical_fallacies,JP_Teineigo,2.566666666666667,0.8858867431209402,1.8166666666666669,0.8683856097676091,1.0583333333333333,0.5755114684282128,2.308333333333333,0.5979374881758811,534.5,13.566666666666666,41.463,0.4841333333333334,0.9071703206266667
qwen,TechnologySociety,EN_Base,2.45,0.8255779474818965,1.8,0.7902919735824044,0.9666666666666666,0.5287080136925202,1.9666666666666663,0.6011684529081094,2102.4333333333334,22.533333333333335,94.15,0.5,1.0
qwen,TechnologySociety,JP_Sonkeigo,2.7666666666666666,0.8590760710824349,2.3666666666666667,0.8976903437245909,1.1666666666666665,0.6710382982072027,2.5,0.7214345682439331,659.2333333333333,16.233333333333334,42.77966666666667,0.46563333333333334,0.9094852557299999
qwen,TechnologySociety,JP_Tameguchi,2.85,0.721231889614215,2.333333333333333,0.8306975860878397,1.4,0.6174840481401948,2.583333333333333,0.6009252125773316,636.2666666666667,15.7,41.31966666666666,0.5094333333333333,0.9140207638366666
qwen,TechnologySociety,JP_Teineigo,2.8833333333333333,0.8534416049733076,2.15,0.7834173153935772,1.2333333333333332,0.9618452052333627,2.4,0.6805570473787205,649.9333333333333,16.76666666666667,39.556,0.46210000000000007,0.9132371044266666
